input,response_category,response
overdue students B.Com!!,fees_admin,Fine collections and pending summaries are available under Fees → Reports with month/category filters.
hall ticket download for me!!,exams_student,You can download your hall ticket once you’re eligible and the session is published. Go to Examination → Hall Ticket.
overdue students M.Tech!! asap,fees_admin,Reconciliation compares gateway references with posted receipts and flags mismatches for review.
can you maintenance schedule for D-281 please,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
collection report Jul 2023 now,fees_admin,The Jul 2023 collection report shows paid vs pending and method-wise breakdowns.
update fine policy asap asap,fees_admin,"Update the fine policy parameters (grace period, daily rate, caps) and publish. The system will apply it to overdue accounts."
when is my fee due asap please now,fees_student,"Your next due date is 2022-08-05. If you miss it, a daily late fine may apply after any grace period."
list overdue students for B.Com for me now now,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
is the lab available at 15:30?,classroom_student,Lab availability depends on existing allocations. Ask faculty/admin to raise a room request for 15:30.
collection report Jul 2022 now,fees_admin,The Jul 2022 collection report shows paid vs pending and method-wise breakdowns.
check overdue accounts now,fees_admin,The system currently tracks outstanding dues across all programs and years.
need medical receipt? please,fees_student,"If payment failed, verify status in Payment History and raise a payment issue with the gateway reference if needed."
check transport dues for me asap asap now,fees_student,You currently have a pending balance for transport. Please pay by 2022-07-09 to avoid late fines.
how does a bill become a law now,politics,"Generally: proposal → committee review → debate/amendments → votes in chambers → executive assent/signature, with steps varying by country."
collection report Dec 2025 please asap,fees_admin,The Dec 2025 collection report shows paid vs pending and method-wise breakdowns.
how much do i need to pay for transport for me?,fees_student,Your payable amount for transport is ₹12500. You can pay online (UPI/Card/NetBanking) or at the accounts office.
admin help asap asap,general,"I can help with fee administration, exams scheduling, classroom allocation, placements, reports, and notifications."
download receipt for me now now,fees_student,Open Fees → Receipts/Statements and download your receipt for the selected term.
can you show my pending amount!! asap,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
when is my fee due asap please now?,fees_student,"Your next due date is 2022-08-05. If you miss it, a daily late fine may apply after any grace period."
Deloitte eligibility asap? now,placement_student,Check Placements → Drives → Deloitte for criteria and schedule.
collection report Sep 2022 please please,fees_admin,The Sep 2022 collection report shows paid vs pending and method-wise breakdowns.
what is a constitution for me!! please,politics,A constitution is a foundational set of rules and principles that defines how a state is governed and how rights are protected.
reconcile payments for Jun 2026!! asap,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
when is my fee due now!! now,fees_student,"Your next due date is 2024-05-07. If you miss it, a daily late fine may apply after any grace period."
Infosys drive time!!?,placement_student,Interview slot assignments appear in Placements → My Interviews once finalized.
maintenance schedule for B-278 for me asap!!,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
i want to generate hall tickets asap?,exams_admin,Hall tickets can be generated once eligibility is computed. Tickets include QR and room allocation per subject.
export pending fees list!!!!,fees_admin,"Use Fees → Overdue, filter by BBA, then Export to CSV."
how does a bill become a law now asap?,politics,"Generally: proposal → committee review → debate/amendments → votes in chambers → executive assent/signature, with steps varying by country."
room changed for my class for me now please!!,classroom_student,Room changes are posted to your timetable and notifications. Check the latest update in Timetable.
collection report Feb 2023 please,fees_admin,The Feb 2023 collection report shows paid vs pending and method-wise breakdowns.
i want to revaluation process please now!! please,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
update my phone number asap asap asap!!,general,"Go to My Profile → Edit and update your phone number, then verify if required."
where are notifications asap,general,Notifications appear in the Notifications panel and may also be sent via email/SMS based on settings.
drive schedule for Deloitte now now asap please now,placement_student,Deloitte drive schedule is listed in Placements → Drives. You’ll see timings and stages once published.
is the lab available at 11:45!!!!,classroom_student,Lab availability depends on existing allocations. Ask faculty/admin to raise a room request for 11:45.
is public wifi safe asap,technology,SSL/TLS encrypts data between your device and the website to prevent interception.
how much do i need to pay for library now?,fees_student,Your payable amount for library is ₹30000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
please i missed an exam asap?!!,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
collection report Mar 2025 please,fees_admin,The Mar 2025 collection report shows paid vs pending and method-wise breakdowns.
collection report Jun 2024 now,fees_admin,The Jun 2024 collection report shows paid vs pending and method-wise breakdowns.
please send drive notifications please,placement_admin,Notifications can be sent by drive stage to eligible/shortlisted students via in-app/email/SMS.
i want to revaluation process please now!! please?,exams_student,"For revaluation, submit your request in Examination → Revaluation within the announced window and pay the applicable fee."
Wipro eligibility?,placement_student,Upload your resume in Placements → Profile (PDF recommended).
allocate rooms for exams on 2025-07-12 now? asap,classroom_admin,Raise room requests per exam subject and run classroom allocation to assign halls by capacity and equipment.
can you list overdue students for B.Tech CSE now please,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
resume upload?,placement_student,Check Placements → Drives → Accenture for criteria and schedule.
TCS eligibility asap asap,placement_student,Upload your resume in Placements → Profile (PDF recommended).
i want to what is air quality index today!! now,environment,"I can’t access live AQI here, but you can check your city AQI in a trusted weather/app source. If you share the value, I can help interpret it."
help for me asap? please,general,"I can help you with fees, exams, placements, timetable/rooms, and notifications. Tell me what you need."
shortlist candidates for Accenture now asap,placement_admin,"Shortlisting checks CGPA, arrears, program/semester, and fee clearance (if required). Export results for the company."
interview slot now asap? now,placement_student,Interview slots are assigned based on capacity and availability. Check Placements → My Interviews for your slot.
block room E-226 on 2023-05-07 for me asap,classroom_admin,Blocking a room marks it unavailable for the selected date/time range and prevents new allocations.
pls tuition due? now please,fees_student,"If payment failed, verify status in Payment History and raise a payment issue with the gateway reference if needed."
i want to need exam receipt for visa now,fees_student,"You can download the exam receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
Cognizant drive time now,placement_student,Check Placements → Drives → Cognizant for criteria and schedule.
shortlist status Deloitte!!,placement_student,Your shortlist status for Deloitte appears under Placements → My Applications once processed.
i want to create fee structure for B.Tech IT asap,fees_admin,"To create a fee structure for B.Tech IT, define categories, amounts, semester mapping, and set it active for the relevant cohort."
i want to how does a bill become a law now please,politics,"Generally: proposal → committee review → debate/amendments → votes in chambers → executive assent/signature, with steps varying by country."
collection report Nov 2025 now now now,fees_admin,The Nov 2025 collection report shows paid vs pending and method-wise breakdowns.
please create placement drive for Wipro please now,placement_admin,"Create the drive with date/time, define criteria, open applications, then run shortlisting to mark eligible students."
internal marks now!!,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
can you list overdue students for B.Tech IT!!,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
contact support? asap,general,Use Forgot Password on the login screen to reset your password securely.
i want to maintenance schedule for C-463?,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
water conservation ideas for me?,environment,"Fix leaks, use low-flow fixtures, harvest rainwater, and reuse greywater where safe and permitted."
placement eligibility for Zoho now asap asap,placement_student,"Eligibility is based on company criteria like CGPA, arrears, and fee clearance. Check Placements → Drives → Zoho."
fine collections this month? now,fees_admin,Reconciliation compares gateway references with posted receipts and flags mismatches for review.
i want to internal marks now now?,exams_student,"Internal marks are available under Examination → Internal Marks. If you see discrepancies, contact your course faculty."
allocate rooms for exams on 2025-08-07 asap asap,classroom_admin,Raise room requests per exam subject and run classroom allocation to assign halls by capacity and equipment.
i want to maintenance schedule for D-520 now,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
export pending fees list? now now now,fees_admin,Fine collections and pending summaries are available under Fees → Reports with month/category filters.
download invoice copy now? now,fees_student,Open Fees → Receipts/Statements and download your invoice copy for the selected term.
can you maintenance schedule for D-281 please now,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
allocate rooms for exams on 2025-09-15 asap!!,classroom_admin,Raise room requests per exam subject and run classroom allocation to assign halls by capacity and equipment.
resume upload asap now now please now,placement_student,Check Placements → Drives → Zoho for criteria and schedule.
please exam timetable please!!,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
please generate hall tickets please now,exams_admin,Hall tickets can be generated once eligibility is computed. Tickets include QR and room allocation per subject.
check hostel dues now? please,fees_student,You currently have a pending balance for hostel. Please pay by 2022-02-05 to avoid late fines.
please waive fine for a student please now,fees_admin,Fine waivers require admin approval. Record the waiver reason and update the student account ledger for audit.
reconcile payments for Sep 2024 asap asap please,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
block room B-301 on 2025-06-27!! now,classroom_admin,Blocking a room marks it unavailable for the selected date/time range and prevents new allocations.
please how does a bill become a law asap,politics,"Generally: proposal → committee review → debate/amendments → votes in chambers → executive assent/signature, with steps varying by country."
i want to where is my class today?,classroom_student,Your class location appears in Timetable → Today. It shows building/room and timings.
need transport receipt asap!!,fees_student,Download your transport receipt from Fees → Receipts after payment success.
plz internet due? please,fees_student,"If payment failed, verify status in Payment History and raise a payment issue with the gateway reference if needed."
drive schedule for Deloitte now!! asap now,placement_student,Deloitte drive schedule is listed in Placements → Drives. You’ll see timings and stages once published.
collection report Mar 2026!! asap now now,fees_admin,The Mar 2026 collection report shows paid vs pending and method-wise breakdowns.
Accenture eligibility please now asap? please,placement_student,Upload your resume in Placements → Profile (PDF recommended).
i want to what is my fee structure for B.Tech CSE please now,fees_student,"Your fee structure depends on B.Tech CSE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
can you show my pending amount!! asap please,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
scholarship management? now,fees_admin,"Scholarship programs include merit-based, need-based, etc."
need mess receipt now,fees_student,Check Fees → Dues for your mess status and due date. Pay before the due date to avoid fines.
plz lab due? asap,fees_student,Check Fees → Dues for your lab status and due date. Pay before the due date to avoid fines.
please admin help please?,general,"I can help with fee administration, exams scheduling, classroom allocation, placements, reports, and notifications."
urgent placement due?? asap?,fees_student,Check Fees → Dues for your placement status and due date. Pay before the due date to avoid fines.
i paid but status is still pending now?,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
drive schedule for Zoho please,placement_student,Zoho drive schedule is listed in Placements → Drives. You’ll see timings and stages once published.
collection report Jan 2024 please,fees_admin,The Jan 2024 collection report shows paid vs pending and method-wise breakdowns.
can you maintenance schedule for D-281 please now?,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
Wipro eligibility?,placement_student,Check Placements → Drives → Wipro for criteria and schedule.
need internet receipt for visa for me asap,fees_student,"You can download the internet receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
collection report Aug 2026!! asap!! asap please,fees_admin,The Aug 2026 collection report shows paid vs pending and method-wise breakdowns.
maintenance schedule for A-430 asap?,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
what is phishing for me now now?,technology,"Phishing is a scam that tricks you into revealing credentials or installing malware, often via fake emails or links."
please maintenance schedule for B-307 now now,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
Infosys eligibility?!! asap?,placement_student,Upload your resume in Placements → Profile (PDF recommended).
can i pay in installments!!,fees_student,Installments may be available depending on your program and semester. Typical plans are 60/40 or 50/50 with specific due dates.
water conservation ideas now!!,environment,"Fix leaks, use low-flow fixtures, harvest rainwater, and reuse greywater where safe and permitted."
shortlist candidates for Accenture now asap,placement_admin,"Shortlisting checks CGPA, arrears, program/semester, and fee clearance (if required). Export results for the company."
can you show my pending amount!! asap,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
can you show my pending amount!! asap now,fees_student,"Your pending amount across categories is visible in your Fees dashboard. If you want, I can break it down category-wise."
i missed an exam now now? please,exams_student,"If you missed an exam due to valid reasons, apply for a re-exam/supplementary as per college policy."
please audit logs asap!! now,general,Audit logs track changes to key entities with before/after snapshots and actor details for compliance.
admin help please please asap,general,"I can help with fee administration, exams scheduling, classroom allocation, placements, reports, and notifications."
overdue students M.Tech asap,fees_admin,Reconciliation compares gateway references with posted receipts and flags mismatches for review.
can you maintenance schedule for D-244 now,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
overdue students B.Tech IT please,fees_admin,Fine collections and pending summaries are available under Fees → Reports with month/category filters.
drive schedule for Zoho asap? please,placement_student,Zoho drive schedule is listed in Placements → Drives. You’ll see timings and stages once published.
contact support for me please now now,general,You can raise a support ticket from your portal or contact the helpdesk during working hours.
update fine policy now,fees_admin,"Update the fine policy parameters (grace period, daily rate, caps) and publish. The system will apply it to overdue accounts."
how to pay library asap please now!!,fees_student,Download your library receipt from Fees → Receipts after payment success.
how to pay library!!,fees_student,Download your library receipt from Fees → Receipts after payment success.
internet payment failed asap,fees_student,Check Fees → Dues for your internet status and due date. Pay before the due date to avoid fines.
waive fine for a student?,fees_admin,Fine waivers require admin approval. Record the waiver reason and update the student account ledger for audit.
can you list overdue students for BBA now,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
i want to create fee structure for BBA? now,fees_admin,"To create a fee structure for BBA, define categories, amounts, semester mapping, and set it active for the relevant cohort."
overdue students BBA? asap please,fees_admin,"Use Fees → Overdue, filter by BBA, then Export to CSV."
please reconcile payments for Oct 2023 now,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
contact support for me please now? asap,general,You can raise a support ticket from your portal or contact the helpdesk during working hours.
collection report Apr 2023 now,fees_admin,The Apr 2023 collection report shows paid vs pending and method-wise breakdowns.
i want to reconcile payments for Oct 2022 please,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
i want to maintenance schedule for E-101 asap now,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
collection report Oct 2023!!,fees_admin,The Oct 2023 collection report shows paid vs pending and method-wise breakdowns.
resume upload asap,placement_student,Check Placements → Drives → Accenture for criteria and schedule.
refund status for transaction now please?,fees_admin,Refunds show status as Initiated/Processed/Rejected with reason. Check the payment issue log if gateway reversal is involved.
tips to reduce carbon footprint? asap please,environment,"Use public transport when possible, reduce energy waste, avoid single-use plastics, and prefer local/seasonal food choices."
plz mess due?? now!!,fees_student,Download your mess receipt from Fees → Receipts after payment success.
collection report Sep 2024 now please,fees_admin,The Sep 2024 collection report shows paid vs pending and method-wise breakdowns.
audit logs asap asap please,general,Audit logs track changes to key entities with before/after snapshots and actor details for compliance.
collection report Sep 2023!!?,fees_admin,The Sep 2023 collection report shows paid vs pending and method-wise breakdowns.
please create exam session for AY 2026–2024 • Even Sem asap now,exams_admin,"Create the session, add subjects, set windows, publish timetable, then generate hall tickets and room requests."
i want to how does a bill become a law asap!! now,politics,"Generally: proposal → committee review → debate/amendments → votes in chambers → executive assent/signature, with steps varying by country."
collection report Jul 2023 now,fees_admin,The Jul 2023 collection report shows paid vs pending and method-wise breakdowns.
i want to create fee structure for MBA? please please asap,fees_admin,"To create a fee structure for MBA, define categories, amounts, semester mapping, and set it active for the relevant cohort."
can you shortlist candidates for Capgemini asap please,placement_admin,"Shortlisting checks CGPA, arrears, program/semester, and fee clearance (if required). Export results for the company."
Accenture eligibility please asap,placement_student,Upload your resume in Placements → Profile (PDF recommended).
can you placement eligibility for Amazon please please please,placement_student,"Eligibility is based on company criteria like CGPA, arrears, and fee clearance. Check Placements → Drives → Amazon."
need exam receipt now?,fees_student,Check Fees → Dues for your exam status and due date. Pay before the due date to avoid fines.
need lab receipt asap?,fees_student,"If payment failed, verify status in Payment History and raise a payment issue with the gateway reference if needed."
please reconcile payments for Oct 2023!! now asap,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
maintenance schedule for C-453 now now!!,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
please update fine policy??,fees_admin,"Update the fine policy parameters (grace period, daily rate, caps) and publish. The system will apply it to overdue accounts."
scholarship management? now please,fees_admin,"Scholarship programs include merit-based, need-based, etc."
fine collections this month now?,fees_admin,"Use Fees → Overdue, filter by B.Tech IT, then Export to CSV."
please drive schedule for Zoho now?,placement_student,Zoho drive schedule is listed in Placements → Drives. You’ll see timings and stages once published.
can you download no-due certificate asap,fees_student,Open Fees → Receipts/Statements and download your no-due certificate for the selected term.
payment reconciliation? now asap,fees_admin,"Use Fees → Overdue, filter by B.Com, then Export to CSV."
please show my last payment now?,fees_student,"Your latest successful transaction appears at the top of Payment History with date, amount, and method."
placement payment failed please,fees_student,Check Fees → Dues for your placement status and due date. Pay before the due date to avoid fines.
i want to contact support?!!,general,You can raise a support ticket from your portal or contact the helpdesk during working hours.
asap transport due? now?!!,fees_student,Download your transport receipt from Fees → Receipts after payment success.
tips to reduce carbon footprint now now,environment,"Use public transport when possible, reduce energy waste, avoid single-use plastics, and prefer local/seasonal food choices."
please why is my scholarship not applied asap asap,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
is the lab available at 15:45 please,classroom_student,Lab availability depends on existing allocations. Ask faculty/admin to raise a room request for 15:45.
maintenance schedule for B-438 for me?,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
payment reconciliation? now asap,fees_admin,"Use Fees → Overdue, filter by MCA, then Export to CSV."
what is phishing now asap asap??!!,technology,"Phishing is a scam that tricks you into revealing credentials or installing malware, often via fake emails or links."
collection report Mar 2026!! asap now now,fees_admin,The Mar 2026 collection report shows paid vs pending and method-wise breakdowns.
please room changed for my class? please!!,classroom_student,Room changes are posted to your timetable and notifications. Check the latest update in Timetable.
please am i eligible for exams asap?,exams_student,Exam eligibility depends on attendance and fee/no-due status. Check Examination → Eligibility for details.
fine collections this month now,fees_admin,"Use Fees → Overdue, filter by B.Sc CS, then Export to CSV."
i need a fee concession for me?,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
i want to export data now now,general,"Most dashboards support export to CSV. Choose filters first, then click Export."
is there a fine if i pay late now? asap asap,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
what is air quality index today!!!!,environment,"I can’t access live AQI here, but you can check your city AQI in a trusted weather/app source. If you share the value, I can help interpret it."
today sports due? please,fees_student,Check Fees → Dues for your sports status and due date. Pay before the due date to avoid fines.
send drive notifications now now now,placement_admin,Notifications can be sent by drive stage to eligible/shortlisted students via in-app/email/SMS.
payment reconciliation? asap asap!! now,fees_admin,"Use Fees → Overdue, filter by B.Tech IT, then Export to CSV."
is there a fine if i pay late for me please asap asap,fees_student,Yes. A late fine is applied after the due date based on the college fine policy. Check the 'Fine Policy' section for the current rate.
payment reconciliation?!!,fees_admin,"Use Fees → Overdue, filter by B.Sc CS, then Export to CSV."
download challan asap please,fees_student,Open Fees → Receipts/Statements and download your challan for the selected term.
reconcile payments for Nov 2023?!!,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
waive fine for a student for me asap,fees_admin,Fine waivers require admin approval. Record the waiver reason and update the student account ledger for audit.
what is my fee structure for MCA?,fees_student,"Your fee structure depends on MCA, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
what is phishing now asap asap??,technology,"Phishing is a scam that tricks you into revealing credentials or installing malware, often via fake emails or links."
Wipro eligibility asap!! asap?!!,placement_student,Check Placements → Drives → Wipro for criteria and schedule.
how to secure my account asap asap,technology,"Use a strong unique password, enable 2FA, avoid sharing OTPs, and review login activity regularly."
generate collection report for Dec 2022 for me asap now asap,fees_admin,The collection report summarizes paid vs pending by category and method for Dec 2022.
please help!!!!,general,"I can help you with fees, exams, placements, timetable/rooms, and notifications. Tell me what you need."
please create fee structure for B.Com?? now,fees_admin,"To create a fee structure for B.Com, define categories, amounts, semester mapping, and set it active for the relevant cohort."
can you list overdue students for BBA asap please now,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
need sports receipt for visa!! asap asap?,fees_student,"You can download the sports receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
collection report Oct 2022 now? asap now,fees_admin,The Oct 2022 collection report shows paid vs pending and method-wise breakdowns.
can you exam timetable please!! now,exams_student,"Your exam timetable is available under Examination → Timetable. It will show date, time, subject and hall/room when assigned."
please how to pay using CASH?,fees_student,"To pay using CASH, open Fees → Pay Now, select CASH, confirm amount, and complete authorization. Save the transaction reference for tracking."
check sports dues?!!,fees_student,You currently have a pending balance for sports. Please pay by 2024-11-20 to avoid late fines.
please why is my scholarship not applied!!!!!! please,fees_student,Scholarship application may be pending approval or missing documents. Check status under Scholarships and verify eligibility criteria.
what can you do? now,general,"I can help with fees, finance, student accounts, and administrative tasks."
i want to upload resume please,placement_student,Go to Placements → Profile and upload your latest resume. Keep it in PDF and under the size limit.
can you is the lab available at 10:45? now,classroom_student,Lab availability depends on existing allocations. Ask faculty/admin to raise a room request for 10:45.
help for me asap?!! please,general,"I can help you with fees, exams, placements, timetable/rooms, and notifications. Tell me what you need."
where are notifications please,general,Notifications appear in the Notifications panel and may also be sent via email/SMS based on settings.
what is separation of powers now? please,politics,"Separation of powers divides authority among branches (executive, legislative, judicial) to prevent abuse and provide checks and balances."
waive fine for a student for me please,fees_admin,Fine waivers require admin approval. Record the waiver reason and update the student account ledger for audit.
Wipro eligibility asap now please!!,placement_student,Check Placements → Drives → Wipro for criteria and schedule.
overdue students BBA? asap please?,fees_admin,"Use Fees → Overdue, filter by BBA, then Export to CSV."
can you download no-due certificate!!,fees_student,Open Fees → Receipts/Statements and download your no-due certificate for the selected term.
sports payment failed? please,fees_student,Download your sports receipt from Fees → Receipts after payment success.
what is air quality index today!!!! now,environment,"I can’t access live AQI here, but you can check your city AQI in a trusted weather/app source. If you share the value, I can help interpret it."
fine collections this month please asap,fees_admin,"Use Fees → Overdue, filter by B.Tech ECE, then Export to CSV."
collection report Oct 2022 now? asap!!,fees_admin,The Oct 2022 collection report shows paid vs pending and method-wise breakdowns.
need placement receipt asap now?,fees_student,Check Fees → Dues for your placement status and due date. Pay before the due date to avoid fines.
resume upload now!!,placement_student,Check Placements → Drives → Zoho for criteria and schedule.
how to pay using CASH asap please,fees_student,"To pay using CASH, open Fees → Pay Now, select CASH, confirm amount, and complete authorization. Save the transaction reference for tracking."
allocate rooms for exams on 2025-11-18 please,classroom_admin,Raise room requests per exam subject and run classroom allocation to assign halls by capacity and equipment.
can you refund status for transaction?,fees_admin,Refunds show status as Initiated/Processed/Rejected with reason. Check the payment issue log if gateway reversal is involved.
generate collection report for Feb 2023 for me!! please,fees_admin,The collection report summarizes paid vs pending by category and method for Feb 2023.
list overdue students for B.Sc CS for me?,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
upload resume for me asap asap,placement_student,Go to Placements → Profile and upload your latest resume. Keep it in PDF and under the size limit.
generate hall tickets now now please,exams_admin,Hall tickets can be generated once eligibility is computed. Tickets include QR and room allocation per subject.
please allocate rooms for exams on 2026-02-02 now now,classroom_admin,Raise room requests per exam subject and run classroom allocation to assign halls by capacity and equipment.
can you what is air quality index today asap!!,environment,"I can’t access live AQI here, but you can check your city AQI in a trusted weather/app source. If you share the value, I can help interpret it."
overdue students B.Sc CS!! now,fees_admin,Fine collections and pending summaries are available under Fees → Reports with month/category filters.
can you how much do i need to pay for medical asap asap,fees_student,Your payable amount for medical is ₹5000. You can pay online (UPI/Card/NetBanking) or at the accounts office.
Cognizant drive time?? please,placement_student,Upload your resume in Placements → Profile (PDF recommended).
please audit logs asap!! now!!,general,Audit logs track changes to key entities with before/after snapshots and actor details for compliance.
please download receipt please!!!!!!,fees_student,Open Fees → Receipts/Statements and download your receipt for the selected term.
medical due date!!,fees_student,Your medical due date is shown on your Fees dashboard. Pay before the due date to avoid late fines.
can you reconcile payments for Mar 2022 asap,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
what is my fee structure for B.Tech ECE asap asap,fees_student,"Your fee structure depends on B.Tech ECE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
i paid but status is still pending for me now,fees_student,"Sometimes gateway confirmation takes time. If it still shows pending after a few hours, share your transaction reference to raise a reconciliation ticket."
i want to what happens if i don't pay please!!,fees_student,"Unpaid dues can lead to account hold, exam/hall-ticket restrictions, and late fines. Pay or request an approved extension if eligible."
please contact support please asap,general,You can raise a support ticket from your portal or contact the helpdesk during working hours.
what is my fee structure for B.Tech ECE please,fees_student,"Your fee structure depends on B.Tech ECE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
enable 2fa?,technology,"If OTP isn’t arriving, verify contact info, check spam, and retry after a minute. Avoid repeated rapid requests."
admin help asap asap please,general,"I can help with fee administration, exams scheduling, classroom allocation, placements, reports, and notifications."
please audit logs asap!! now!! now,general,Audit logs track changes to key entities with before/after snapshots and actor details for compliance.
installments now now,fees_student,"Installment options available: 2 installments (60% upfront, 40% later), etc."
need library receipt!! now,fees_student,"If payment failed, verify status in Payment History and raise a payment issue with the gateway reference if needed."
fine collections this month now??,fees_admin,"Use Fees → Overdue, filter by B.Tech IT, then Export to CSV."
medical payment failed now!!?,fees_student,Check Fees → Dues for your medical status and due date. Pay before the due date to avoid fines.
can you shortlist candidates for Amazon asap,placement_admin,"Shortlisting checks CGPA, arrears, program/semester, and fee clearance (if required). Export results for the company."
maintenance schedule for B-486 now asap now,classroom_admin,Set the room status to MAINTENANCE and define the blocked time window. Notifications can be sent to affected timetables.
export data asap now,general,"Most dashboards support export to CSV. Choose filters first, then click Export."
placement eligibility for Zoho for me!!,placement_student,"Eligibility is based on company criteria like CGPA, arrears, and fee clearance. Check Placements → Drives → Zoho."
need sports receipt for visa!!?,fees_student,"You can download the sports receipt from Fees → Receipts. If you need a stamped copy, request it at the accounts office."
can you i need a fee concession? now,fees_student,Fee concessions (if available) are handled via scholarship/financial-aid rules. Submit the required documents in the Scholarships section.
i need help please asap now,general,"Tell me what you need help with (fees, exams, placements, timetable, or account)."
upload resume now!! please,placement_student,Go to Placements → Profile and upload your latest resume. Keep it in PDF and under the size limit.
can you list overdue students for B.Tech IT asap,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
fine collections this month?? asap,fees_admin,Reconciliation compares gateway references with posted receipts and flags mismatches for review.
list overdue students for B.Tech ECE now please? now,fees_admin,You can view overdue accounts by program/year/semester in Fees → Overdue. Export is available for reporting.
help for me!! now,general,"I can help you with fees, exams, placements, timetable/rooms, and notifications. Tell me what you need."
i want to reconcile payments for Oct 2022 please please,fees_admin,Reconciliation compares gateway references vs posted receipts and flags mismatches for review.
Amazon drive time please?,placement_student,Check Placements → Drives → Amazon for criteria and schedule.
drive schedule for TCS now now,placement_student,TCS drive schedule is listed in Placements → Drives. You’ll see timings and stages once published.
plz library due??,fees_student,Download your library receipt from Fees → Receipts after payment success.
overdue students M.Tech!! asap asap,fees_admin,Reconciliation compares gateway references with posted receipts and flags mismatches for review.
waive fine for a student asap,fees_admin,Fine waivers require admin approval. Record the waiver reason and update the student account ledger for audit.
can you what is my fee structure for B.Tech CSE? now!!,fees_student,"Your fee structure depends on B.Tech CSE, year and semester. It typically includes tuition, exam, and facility charges; hostel/transport are optional if applicable."
internet payment failed? asap?,fees_student,Download your internet receipt from Fees → Receipts after payment success.
create exam session for AY 2022–2025 • Even Sem for me now now,exams_admin,"Create the session, add subjects, set windows, publish timetable, then generate hall tickets and room requests."
can you publish timetable? now,exams_admin,Publishing locks the timetable for students and triggers notifications. Use reschedule if changes are required.
fine collections this month please,fees_admin,Reconciliation compares gateway references with posted receipts and flags mismatches for review.
